X	Y
-40	52
-39	30.2
-38	23.2
-37	12
-36	0.6
-35	-8
-34	-20.8
-33	-21.8
-32	-27
-31	-33.4
-30	-41
-29	-53.8
-28	-52.8
-27	-61
-26	-55.4
-25	-56
-24	-63.8
-23	-65.8
-22	-60
-21	-55.4
-20	-57
-19	-57.8
-18	-49.8
-17	-42
-16	-42.4
-15	-29
-14	-28.8
-13	-13.8
-12	-13
-11	-1.4
-10	15
-9	-7.5
-8	-5
-7	1.5
-6	1
-5	0.5
-4	-7
-3	2.5
-2	-1
-1	2.5
0	1
1	-0.5
2	5
3	3.5
4	-1
5	1.5
6	7
7	-0.5
8	2
9	-0.5
10	10.20537863
11	12.47229837
12	12.60292251
13	14.07559994
14	12.28493299
15	19.68999988
16	20.94679123
17	19.99243556
18	21.06059243
19	22.6242444
20	18.27989445
21	14.6015212
22	12.00004897
23	22.62273913
24	20.31713541
25	24.66839051
26	28.10083518
27	31.01892213
28	27.95303678
29	28.67447528
30	35.2514392
31	31.03233741
32	29.56048342
33	34.44107329
34	31.19301254
35	35.12186997
36	36.24506377
37	31.28759691
38	34.74938605
39	44.02769935
40	43.56472625
